,ID State,State,ID Year,Year,Population,Slug State,Region
167,04000US15,Hawaii,2017,2017,1421658,hawaii,West
168,04000US16,Idaho,2017,2017,1657375,idaho,West
169,04000US17,Illinois,2017,2017,12854526,illinois,Midwest
170,04000US18,Indiana,2017,2017,6614418,indiana,Midwest
171,04000US19,Iowa,2017,2017,3118102,iowa,Midwest
172,04000US20,Kansas,2017,2017,2903820,kansas,Midwest
173,04000US21,Kentucky,2017,2017,4424376,kentucky,South
174,04000US22,Louisiana,2017,2017,4663461,louisiana,South
175,04000US23,Maine,2017,2017,1330158,maine,NewEngland
176,04000US24,Maryland,2017,2017,5996079,maryland,MiddleAtlantic
177,04000US25,Massachusetts,2017,2017,6789319,massachusetts,NewEngland
178,04000US26,Michigan,2017,2017,9925568,michigan,Midwest
179,04000US27,Minnesota,2017,2017,5490726,minnesota,Midwest
180,04000US28,Mississippi,2017,2017,2986220,mississippi,South
181,04000US29,Missouri,2017,2017,6075300,missouri,South
182,04000US30,Montana,2017,2017,1029862,montana,West
183,04000US31,Nebraska,2017,2017,1893921,nebraska,Midwest
184,04000US32,Nevada,2017,2017,2887725,nevada,West
185,04000US33,New Hampshire,2017,2017,1331848,new-hampshire,NewEngland
186,04000US34,New Jersey,2017,2017,8960161,new-jersey,MiddleAtlantic
187,04000US35,New Mexico,2017,2017,2084828,new-mexico,Southwest
188,04000US36,New York,2017,2017,19798228,new-york,MiddleAtlantic
189,04000US37,North Carolina,2017,2017,10052564,north-carolina,South
190,04000US38,North Dakota,2017,2017,745475,north-dakota,Midwest
191,04000US39,Ohio,2017,2017,11609756,ohio,Midwest
192,04000US40,Oklahoma,2017,2017,3896251,oklahoma,Southwest
193,04000US41,Oregon,2017,2017,4025127,oregon,West
194,04000US42,Pennsylvania,2017,2017,12790505,pennsylvania,MiddleAtlantic
195,04000US44,Rhode Island,2017,2017,1056138,rhode-island,NewEngland
196,04000US45,South Carolina,2017,2017,4893444,south-carolina,South
197,04000US46,South Dakota,2017,2017,855444,south-dakota,Midwest
198,04000US47,Tennessee,2017,2017,6597381,tennessee,South
199,04000US48,Texas,2017,2017,27419612,texas,Southwest
200,04000US49,Utah,2017,2017,2993941,utah,West
201,04000US50,Vermont,2017,2017,624636,vermont,NewEngland
202,04000US51,Virginia,2017,2017,8365952,virginia,South
203,04000US53,Washington,2017,2017,7169967,washington,West
204,04000US54,West Virginia,2017,2017,1836843,west-virginia,South
205,04000US55,Wisconsin,2017,2017,5763217,wisconsin,Midwest
206,04000US56,Wyoming,2017,2017,583200,wyoming,West
207,04000US72,Puerto Rico,2017,2017,3468963,puerto-rico,Other
208,04000US01,Alabama,2016,2016,4841164,alabama,South
209,04000US02,Alaska,2016,2016,736855,alaska,West
210,04000US04,Arizona,2016,2016,6728577,arizona,Southwest
211,04000US05,Arkansas,2016,2016,2968472,arkansas,South
212,04000US06,California,2016,2016,38654206,california,West
213,04000US08,Colorado,2016,2016,5359295,colorado,West
214,04000US09,Connecticut,2016,2016,3588570,connecticut,NewEngland
215,04000US10,Delaware,2016,2016,934695,delaware,MiddleAtlantic
216,04000US11,District of Columbia,2016,2016,659009,district-of-columbia,Other
217,04000US12,Florida,2016,2016,19934451,florida,South
218,04000US13,Georgia,2016,2016,10099320,georgia,South
219,04000US15,Hawaii,2016,2016,1413673,hawaii,West
220,04000US16,Idaho,2016,2016,1635483,idaho,West
221,04000US17,Illinois,2016,2016,12851684,illinois,Midwest
222,04000US18,Indiana,2016,2016,6589578,indiana,Midwest
223,04000US19,Iowa,2016,2016,3106589,iowa,Midwest
224,04000US20,Kansas,2016,2016,2898292,kansas,Midwest
225,04000US21,Kentucky,2016,2016,4411989,kentucky,South
226,04000US22,Louisiana,2016,2016,4645670,louisiana,South
227,04000US23,Maine,2016,2016,1329923,maine,NewEngland
228,04000US24,Maryland,2016,2016,5959902,maryland,MiddleAtlantic
229,04000US25,Massachusetts,2016,2016,6742143,massachusetts,NewEngland
230,04000US26,Michigan,2016,2016,9909600,michigan,Midwest
231,04000US27,Minnesota,2016,2016,5450868,minnesota,Midwest
232,04000US28,Mississippi,2016,2016,2989192,mississippi,South
233,04000US29,Missouri,2016,2016,6059651,missouri,South
234,04000US30,Montana,2016,2016,1023391,montana,West
235,04000US31,Nebraska,2016,2016,1881259,nebraska,Midwest
236,04000US32,Nevada,2016,2016,2839172,nevada,West
237,04000US33,New Hampshire,2016,2016,1327503,new-hampshire,NewEngland
238,04000US34,New Jersey,2016,2016,8915456,new-jersey,MiddleAtlantic
239,04000US35,New Mexico,2016,2016,2082669,new-mexico,Southwest
240,04000US36,New York,2016,2016,19697457,new-york,MiddleAtlantic
241,04000US37,North Carolina,2016,2016,9940828,north-carolina,South
242,04000US38,North Dakota,2016,2016,736162,north-dakota,Midwest
243,04000US39,Ohio,2016,2016,11586941,ohio,Midwest
244,04000US40,Oklahoma,2016,2016,3875589,oklahoma,Southwest
245,04000US41,Oregon,2016,2016,3982267,oregon,West
246,04000US42,Pennsylvania,2016,2016,12783977,pennsylvania,MiddleAtlantic
247,04000US44,Rhode Island,2016,2016,1054491,rhode-island,NewEngland
248,04000US45,South Carolina,2016,2016,4834605,south-carolina,South
249,04000US46,South Dakota,2016,2016,851058,south-dakota,Midwest
250,04000US47,Tennessee,2016,2016,6548009,tennessee,South
251,04000US48,Texas,2016,2016,26956435,texas,Southwest
252,04000US49,Utah,2016,2016,2948427,utah,West
253,04000US50,Vermont,2016,2016,626249,vermont,NewEngland
254,04000US51,Virginia,2016,2016,8310301,virginia,South
255,04000US53,Washington,2016,2016,7073146,washington,West
256,04000US54,West Virginia,2016,2016,1846092,west-virginia,South
257,04000US55,Wisconsin,2016,2016,5754798,wisconsin,Midwest
258,04000US56,Wyoming,2016,2016,583029,wyoming,West
259,04000US72,Puerto Rico,2016,2016,3529385,puerto-rico,Other
260,04000US01,Alabama,2015,2015,4830620,alabama,South
261,04000US02,Alaska,2015,2015,733375,alaska,West
262,04000US04,Arizona,2015,2015,6641928,arizona,Southwest
263,04000US05,Arkansas,2015,2015,2958208,arkansas,South
